"Timestamp","Username","Subject ID
(این سوال را فقط مسئول جمع آوری داده پاسخ دهد)
sample: D[device number]-[last four digits of phone number]","اگر این برنامه در دسترس شما باشد، روزانه حدوداً چند دقیقه را به آن اختصاص می‌دهید؟","اگر این برنامه در دسترس شما باشد در طول یک هفته چند بار برای مرور یا مطالعه مباحث جدید به این برنامه رجوع میکنید؟","فکر میکنید اشتراک نامحدود نیک هم قیمت کدام یک از این گزینه ها باشد؟","استفاده از این برنامه چگونه بود؟","قسمت پادکست در برنامه را چطور ارزیابی می‌کنید؟","آزمون انتهای هر بخش را چگونه ارزیابی می کنید؟"," رنگ های به کار رفته در برنامه را چطور ارزیابی میکنید؟"," فضای گرافیکی و ظاهر برنامه (شکل و اندازه علامت ها و ... ) را چطور ارزیابی میکنید؟","کدام بخش برنامه برای شما جذابیت بیشتری داشت؟","کدام بخش برنامه را دوست نداشتید؟","شما متعلق به کدام گروه سنی هستید؟","جنسیت شما چیست؟","کجا زندگی می کنید؟","چقدر احتمال دارد اپلیکیشن نیک را به دیگران معرفی کنید؟","آیا از اطرافیان خود کسی را میشناسید که به این برنامه نیاز داشته باشد؟","آیا می خواهید چیز بیشتری در مورد تجربه امروز خود در استفاده از این برنامه به اشتراک بگذارید؟
ما نظرات شما را با دقت می خوانیم."
"2024/02/15 8:55:32 PM GMT+3:30","behpas.tehran@gmail.com","D01-5302","۰ تا ۱۵ دقیقه","۰ تا ۲ بار در هفته","D","کمی گیج کننده بود.","پادکست را امتحان کردم و خوشم نیامد.","انگیزه ی من را برای ادامه کار با برنامه کم کرد.","نظری ندارم.","به نظرم باید بیشتر مورد بررسی قرار گیرد.","آزمون","پادکست","۴۰ - ۵۰","زن","شهر تهران","به هیچ وجه معرفی نمیکنم.","بله",""
"2024/02/18 11:12:21 AM GMT+3:30","behpas.tehran@gmail.com","D02-8226","۰ تا ۱۵ دقیقه","۰ تا ۲ بار در هفته","F","بعد از کمی تلاش راه افتادم.","پادکست را امتحان کردم و برایم جالب بود.","تاثیری درانگیزه ام نداشت.","رنگ ها خوب انتخاب شده اند.","نظری ندارم.","شنیداری","دستور زبان (گرامر)","۳۰ - ۴۰","مرد","شهر تهران","نظری ندارم.","بله",""
"2024/02/18 12:34:18 PM GMT+3:30","behpas.tehran@gmail.com","D01-3772","۱۵ تا ۳۰ دقیقه","۰ تا ۲ بار در هفته","C","فرقی با برنامه هایی که استفاده میکنم نداشت.","پادکست را گوش ندادم چون وقت کافی نبود.","تاثیری درانگیزه ام نداشت.","به نظرم انتخاب رنگ باید بیشتر مورد بررسی قرار گیرد.","به نظرم باید بیشتر مورد بررسی قرار گیرد.","دستور زبان (گرامر)","ویدئوهای آموزشی","۳۰ - ۴۰","مرد","شهر تهران","شاید معرفی کنم.","بله","Barname khobi bod . Ye meghdar moshkel hang kardan dasht . Filmhash ro mokh bod. Khieli mokhatab ro Sade tasovor mikard. Azmoonha ba tavajoh be Doros kotah Sade va ghabel pishbini good."
"2024/02/18 1:52:17 PM GMT+3:30","behpas.tehran@gmail.com","D02-7786","۰ تا ۱۵ دقیقه","۰ تا ۲ بار در هفته","F","کمی گیج کننده بود.","پادکست را امتحان کردم و خوشم نیامد.","انگیزه ی من را برای ادامه کار با برنامه کم کرد.","رنگ ها بسیار بد انتخاب شده اند.","بسیار بد طراحی شده بود.","یاد گرفتن لغات","دستور زبان (گرامر)","۳۰ - ۴۰","مرد","شهر تهران","به هیچ وجه معرفی نمیکنم.","بله","Eftezah blood!"
"2024/02/21 10:17:31 AM GMT+3:30","behpas.tehran@gmail.com","D01-6310","۱۵ تا ۳۰ دقیقه","۰ تا ۲ بار در هفته","H","خیلی راحت بود.","پادکست را امتحان کردم و برایم جالب بود.","عالی بود و من را برای ادامه دادن ترغیب کرد.","رنگ ها بسیار بد انتخاب شده اند.","به نظرم باید بیشتر مورد بررسی قرار گیرد.","ویدئوهای آموزشی","دستور زبان (گرامر);خواندن","۴۰ - ۵۰","زن","شهر تهران","شاید معرفی کنم.","بله",""
"2024/02/21 10:37:46 AM GMT+3:30","behpas.tehran@gmail.com","D02-9545","۳۰ تا ۶۰ دقیقه","۲ تا ۵ بار در هفته","B","خیلی راحت بود.","پادکست را امتحان کردم و برایم جالب بود.","عالی بود و من را برای ادامه دادن ترغیب کرد.","به نظرم انتخاب رنگ باید بیشتر مورد بررسی قرار گیرد.","نظری ندارم.","دستور زبان (گرامر)","دستور زبان (گرامر)","۵۰ - ۶۰","مرد","شهر تهران","شاید معرفی کنم.","بله",""
"2024/02/21 12:13:23 PM GMT+3:30","behpas.tehran@gmail.com","D01-5340","۱۵ تا ۳۰ دقیقه","۲ تا ۵ بار در هفته","E","بعد از کمی تلاش راه افتادم.","نتوانستم از قسمت پادکست استفاده کنم.","عالی بود و من را برای ادامه دادن ترغیب کرد.","به نظرم انتخاب رنگ باید بیشتر مورد بررسی قرار گیرد.","به نظرم باید بیشتر مورد بررسی قرار گیرد.","یاد گرفتن لغات;آزمون","هیچکدام","۴۰ - ۵۰","مرد","شهر تهران","حتما معرفی میکنم.","بله",""
"2024/02/21 12:19:43 PM GMT+3:30","behpas.tehran@gmail.com","D02-4030","۰ تا ۱۵ دقیقه","۲ تا ۵ بار در هفته","G","بعد از کمی تلاش راه افتادم.","پادکست را امتحان کردم و برایم جالب بود.","تاثیری درانگیزه ام نداشت.","به نظرم انتخاب رنگ باید بیشتر مورد بررسی قرار گیرد.","به نظرم باید بیشتر مورد بررسی قرار گیرد.","یاد گرفتن لغات","هیچکدام","۵۰ - ۶۰","مرد","شهر تهران","نظری ندارم.","بله",""
"2024/02/21 12:50:17 PM GMT+3:30","behpas.tehran@gmail.com","D02-3569","بیش از ۶۰ دقیقه","بیش از ۱۰ بار در هفته","G","خیلی راحت بود.","قسمت پادکست اصلا به چشمم نخورد.","تاثیری درانگیزه ام نداشت.","به نظرم انتخاب رنگ باید بیشتر مورد بررسی قرار گیرد.","به نظرم باید بیشتر مورد بررسی قرار گیرد.","آزمون","هیچکدام","۴۰ - ۵۰","مرد","شهر تهران","حتما معرفی میکنم.","بله",""
"2024/02/22 10:06:02 AM GMT+3:30","behpas.tehran@gmail.com","D01-9902","۱۵ تا ۳۰ دقیقه","۰ تا ۲ بار در هفته","G","کمی گیج کننده بود.","قسمت پادکست اصلا به چشمم نخورد.","تاثیری درانگیزه ام نداشت.","رنگ ها خوب انتخاب شده اند.","به نظرم باید بیشتر مورد بررسی قرار گیرد.","یاد گرفتن لغات;شنیداری;خواندن","پادکست","۵۰ - ۶۰","زن","شهر تهران","شاید معرفی کنم.","بله",""
